,,,Val,Val
,,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'KG pool')","('parameters', 'Corpus input')",,
WN18RR_v4_ind_labeled,KG-custom,randomWalks,5.0,416.0888888888889
WN18RR_v4_ind_labeled,KG-finetuned,VandR,20.0,375.4166666666667
WN18RR_v4_ind_labeled,original_BytE,,85.0,302.6666666666667
fb237_v1_ind_uslabeled,KG-finetuned,VandR,1.0,758.5882352941177
fb237_v1_ind_uslabeled,KG-custom,E,2.0,708.0027777777777
fb237_v1_ind_uslabeled,KG-custom,VandR,3.0,738.866295264624
fb237_v1_ind_uslabeled,KG-custom,randomWalks,6.0,717.8033707865169
fb237_v1_ind_uslabeled,original_BytE,,17.0,571.9090909090909
fb237_v1_ind_uslabeled,KG-pretrained,VandR,20.0,752.3833333333333
fb237_v2_ind_uslabeled,KG-custom,randomWalks,1.0,656.4568245125348
fb237_v2_ind_uslabeled,KG-custom,E,2.0,699.7675070028012
fb237_v2_ind_uslabeled,KG-custom,VandR,3.0,698.1420612813371
fb237_v2_ind_uslabeled,KG-finetuned,VandR,8.0,856.3625
fb237_v2_ind_uslabeled,KG-pretrained,VandR,10.0,885.325
fb237_v2_ind_uslabeled,original_BytE,,37.0,716.0833333333334
fb237_v3_ind_uslabeled,KG-custom,randomWalks,1.0,656.4833333333333
fb237_v3_ind_uslabeled,KG-custom,VandR,2.0,688.4512534818941
fb237_v3_ind_uslabeled,KG-finetuned,VandR,6.0,877.0292887029289
fb237_v3_ind_uslabeled,KG-pretrained,VandR,8.0,823.0833333333334
fb237_v3_ind_uslabeled,KG-custom,E,13.0,707.5905292479108
fb237_v3_ind_uslabeled,original_BytE,,35.0,920.75
fb237_v4_ind_uslabeled,KG-custom,randomWalks,1.0,576.6
fb237_v4_ind_uslabeled,KG-custom,VandR,2.0,583.475
fb237_v4_ind_uslabeled,KG-custom,E,8.0,573.2228412256268
fb237_v4_ind_uslabeled,KG-pretrained,VandR,20.0,758.4833333333333
