dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/ascending_size_vocab.pkl,1,21,19,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/ascending_size_vocab.pkl,2,17,16,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/ascending_size_vocab.pkl,4,17,16,15,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/default_vocab.pkl,1,21,19,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/default_vocab.pkl,2,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/E/default_vocab.pkl,4,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/descending_size_vocab.pkl,1,23,22,22,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/descending_size_vocab.pkl,2,21,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/descending_size_vocab.pkl,4,20,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/ascending_size_vocab.pkl,1,23,22,22,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/ascending_size_vocab.pkl,2,21,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-finetuned/VandR/ascending_size_vocab.pkl,4,20,16,15,False
nell_v1_ind,default,,12,12,12,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,10,10,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/descending_size_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,2,16,10,10,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/ascending_size_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/default_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/default_vocab.pkl,2,16,10,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/randomWalks/default_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/descending_size_vocab.pkl,2,17,11,11,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/descending_size_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/ascending_size_vocab.pkl,2,17,17,17,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/ascending_size_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/default_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/default_vocab.pkl,2,17,16,16,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/VandR/default_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/descending_size_vocab.pkl,2,20,10,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/descending_size_vocab.pkl,4,9,9,9,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/ascending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/ascending_size_vocab.pkl,2,20,10,11,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/ascending_size_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/default_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/default_vocab.pkl,2,20,10,10,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-custom/E/default_vocab.pkl,4,8,8,8,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/descending_size_vocab.pkl,1,47,47,47,False
nell_v1_ind,Vocabularies/NELL-995_all/nell_v1_ind/KG-finetuned/VandR/descending_size_vocab.pkl,2,26,26,26,False
