,Val,Val
,Mean best rank,Mean² rank
"('parameters', 'Corpus input')",,
VandR,2.92,432.4325996041149
randomWalks,8.36,464.60658825016054
E,11.48,473.6486238123299
,106.92,463.0270041592394
