,Val,Val
,Mean best rank,Mean² rank
"('parameters', 'Vocab size')",,
12.0,1.0,365.4551282051282
4.0,1.5,372.18910256410254
8.0,2.0,352.625
3.0,10.91304347826087,474.71003660090355
0.5,11.826086956521738,436.0997969709569
0.25,12.956521739130435,414.26916570756987
2.0,15.68,475.3415179434138
1.0,16.92,466.7308009841625
,106.92,463.0270041592394
