,,Val,Val
,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'Vocab size')",,
fb237_v3_ind_uslabeled,0.25,50.0,962.8466898954704
fb237_v4_ind_uslabeled,3.0,1.0,492.74583333333334
fb237_v4_ind_uslabeled,2.0,5.0,492.6375
fb237_v4_ind_uslabeled,1.0,16.0,550.6708333333333
fb237_v4_ind_uslabeled,,21.0,675.6666666666666
fb237_v4_ind_uslabeled,0.5,40.0,703.85
fb237_v4_ind_uslabeled,0.25,48.0,814.5732217573221
nell_v1_ind,12.0,1.0,343.62179487179486
nell_v1_ind,4.0,1.0,356.05128205128204
nell_v1_ind,8.0,1.0,328.04487179487177
nell_v1_ind,2.0,64.0,476.3397435897436
nell_v1_ind,,99.0,264.75
nell_v1_ind,1.0,172.0,480.5
nell_v2_ind,3.0,1.0,356.2564102564103
nell_v2_ind,2.0,3.0,343.7564102564103
nell_v2_ind,1.0,4.0,383.5705128205128
nell_v2_ind,0.5,8.0,443.2564102564103
nell_v2_ind,0.25,20.0,463.85897435897436
nell_v2_ind,,25.0,289.9166666666667
nell_v3_ind,2.0,1.0,363.78846153846155
nell_v3_ind,3.0,1.0,383.5128205128205
nell_v3_ind,1.0,3.0,383.65384615384613
nell_v3_ind,0.25,28.0,453.5897435897436
nell_v3_ind,0.5,34.0,405.31410256410254
nell_v3_ind,,41.0,291.8333333333333
nell_v4_ind,1.0,1.0,390.78205128205127
nell_v4_ind,0.5,3.0,427.0192307692308
nell_v4_ind,2.0,4.0,354.2371794871795
nell_v4_ind,3.0,4.0,356.4166666666667
nell_v4_ind,0.25,21.0,458.7371794871795
nell_v4_ind,,47.0,326.5
